date,text
2020-07-30,"Obama (Privately) Slams Trump - Raking in cash for Biden, the former president eases off the gloves: This is your morning tip sheet."
2020-09-09,Democrats Fear Partisan Slant at Postal Service as Trump Allies Dominate Board - The five Republicans on the seven-member board have taken a hands-on role in trying to defend the agency against accusations that it is trying to help the president win a second term by sabotaging voting by mail.
2020-10-08,"Pence, a peerless Trump defender, confronted his limits at the debate. - Mike Pence deflected criticism of the Trump administration’s pandemic response, something Kamala Harris said “clearly” hadn’t worked."
2020-01-04,White House Withholds 20 Emails Between Two Trump Aides on Ukraine Aid - It contends the release of the documents sought by The Times would “inhibit the frank and candid exchange of views” in government decision-making.
2020-03-22,"Trump Bets Business Will Answer Call to Fight Virus, but Strategy Bewilders Firms - It remains unclear if the effort to enlist companies like General Motors, Apple and Hanes constitutes an effective strategy."
2020-08-04,Meet the Official Accused of Helping Trump Politicize Homeland Security - Chad F. Wolf joined the Department of Homeland Security in its infancy to help prevent another 9/11. Now he is helping President Trump use it to achieve his political ambitions.
2020-06-05,"Trump Agrees to Send Home Troops From Washington, Easing Tensions With the Pentagon - But what appeared to be an uneasy truce between the White House and military leaders did not mean the conflict was over."
2020-08-29,"Biden’s Approval Rating, G.O.P. Recasts Trump: This Week in the 2020 Race - President Trump, during his convention speech, did little to acknowledge the coronavirus pandemic, warning instead of what would become of the country’s economy and “greatness” if Joe Biden were elected."
2020-09-01,"A House panel plans to subpoena Louis DeJoy over mail delays and his Trump communications. - The chairwoman of the House Oversight Committee said the postmaster general had withheld requested documents, telling her panel his verbal testimony should suffice."
2020-01-14,"Documents Provide New Details of Trump’s Pressure Campaign on Ukraine - The dozens of pages of notes, text messages and other records lay out work conducted by Rudolph W. Giuliani and an associate on behalf of the president."
2020-08-24,This Is the Week Trump’s Been Waiting For - But will Republicans’ celebration of their president deliver the agenda-setting boost he needs?
2020-10-21,"LeBron James on Black Voter Participation, Misinformation and Trump - In an interview, the recently crowned N.B.A. champion discussed the work of More Than a Vote, a collective of athletes trying to combat misinformation among Black communities before Election Day."
2020-03-24,Democrats Near Deal With White House on Stimulus Package - Top Democrats and administration officials said they were optimistic about finalizing a compromise on a $2 trillion economic package after agreeing to add oversight for a bailout fund.
2020-04-17,"Trump Foments Protests Against Governors; Experts Warn of Testing Shortages - The president issued calls to ‘LIBERATE’ states, and several announced plans to ease restrictions. At least 7,000 of the virus deaths in the U.S. are connected to nursing homes."
2020-06-23,"Ahead of Trump Visit, Church Makes Unproven Claim of Virus-Killing Technology - The president went to Phoenix to speak to a group of student supporters."
2020-05-12,"Supreme Court Hints at Split Decision in Two Cases on Obtaining Trump’s Financial Records - A majority of justices seemed skeptical of an effort by three House committees, but they seemed more sympathetic to the argument of the Manhattan district attorney."
2020-05-24,"Trump Sows Doubt on Voting. It Keeps Some People Up at Night. - A group of worst-case scenario planners — mostly Democrats, but also some anti-Trump Republicans — have been gaming out how to respond to various doomsday options for the 2020 presidential election."
2020-06-14,"Trump’s Halting Walk Down Ramp Raises New Health Questions - The president also appeared to have trouble raising a glass of water to his mouth during a speech at West Point a day before he turned 74, the oldest a president has been in his first term."
2020-07-15,"Asylum Officers Condemn What They Call ‘Draconian’ Plans by Trump - A Trump administration plan to overhaul the asylum system would subject vulnerable families to danger and violate international law, officers who would carry out the policy said."
2020-10-20,"Voters favor Biden over Trump on almost all major issues, a new poll shows. - Voters favor Biden over Trump on almost all major issues, a New York Times/Siena College poll found."
2020-10-28,"Biden and Trump will both campaign in Tampa on Thursday, though not at the same time. - The city of Tampa will be the center of the presidential election universe on Thursday when President Trump and former Vice President Joseph R. Biden Jr. visit the crucial battleground state of Florida."
2020-08-16,"A New York police union endorses Trump. - A union representing tens of thousands of New York City police officers endorsed President Trump for re-election on Friday, citing what leaders said was Mr. Trump’s defense of the authorities and concern for public safety at a time they said their members have been “under attack.”"
2020-10-13,Trump’s Big (Risky?) Return - Fauci says Trump is “asking for trouble” by resuming rallies: This is your morning tip sheet.
2020-05-15,"Trump’s Ratings on the Virus Are Sagging. Why Isn’t Biden Surging? - Joe Biden may have a lead in most polls, but it’s not anywhere close to a comfortable one."
2020-05-09,Whistle-Blower Exposes Infighting and Animus in Trump’s Coronavirus Response - The allegations suggest personal clashes influenced how the administration responded to the pandemic.
2020-06-13,"Trump Made Inaccurate Claims About the Military During His West Point Speech - The president made misleading claims about his military budgets, the fight against the Islamic State and wars in the Middle East."
2020-09-30,"Biden Easily Cleared the Low Bar Set by Trump in a Chaotic First Debate - The former vice president didn’t deliver a stellar performance, but he largely executed his goal of providing a stable contrast to his rival."
2020-09-19,"Trump Presses for New Justice ‘Without Delay’ as Election-Season Battle Looms - The president is likely to nominate a successor this coming week to Justice Ruth Bader Ginsburg, who died on Friday, but Senate Republicans are weighing whether they have the votes to confirm his choice before the Nov. 3 election."
2020-08-27,How Trump’s convention has become a crucial play for the suburbs. - Conciliatory messages at the Republican convention were an acknowledgment by the president’s campaign that appealing to his right-wing base will not be enough to win re-election.
2020-08-27,"The G.O.P. argues that only Trump can stop the chaos. But he’s already in charge. - The America that many speakers described on Wednesday at the Republican National Convention did not sound like a desirable place: fractious, violent, functionally lawless in some pockets."
